年份,资料类型,最终文件名,原始文件名,来源仓库,来源路径或URL,文件大小,PDF页数,校验状态,备注
2020,单年份真题,01_单年份真题/2020/2020年考研英语二真题.pdf,2020年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2020年考研英语二真题.pdf,1328815,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2021,单年份真题,01_单年份真题/2021/2021年考研英语二真题.pdf,2021年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2021年考研英语二真题.pdf,4891516,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2022,单年份真题,01_单年份真题/2022/2022年考研英语二真题.pdf,2022年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2022年考研英语二真题.pdf,4824381,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2023,单年份真题,01_单年份真题/2023/2023年考研英语二真题.pdf,2023年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2023年考研英语二真题.pdf,781599,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2024,单年份真题,01_单年份真题/2024/2024年考研英语二真题.pdf,2024年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2024年考研英语二真题.pdf,530851,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2025,单年份真题,01_单年份真题/2025/2025年考研英语二真题.pdf,2025年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2025年考研英语二真题.pdf,516098,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2026,单年份真题,01_单年份真题/2026/2026年考研英语二真题.pdf,2026年考研英语二真题.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/2026年考研英语二真题.pdf,476581,14,通过,PDF签名、打开、页数、内容及年份逐项通过。
2010,真题及参考答案,02_答案与解析/2010/2010年考研英语二真题及参考答案.pdf,2010英语真题试卷及答案2.pdf,zwd1216/yingyuer,https://raw.githubusercontent.com/zwd1216/yingyuer/master/2010英语真题试卷及答案2.pdf,580278,9,通过,PDF签名、打开、页数通过；逐页确认含对应年份英语二真题和参考答案。
2011,真题及参考答案,02_答案与解析/2011/2011年考研英语二真题及参考答案.pdf,2011英语真题试卷及答案2.pdf,zwd1216/yingyuer,https://raw.githubusercontent.com/zwd1216/yingyuer/master/2011英语真题试卷及答案2.pdf,577645,10,通过,PDF签名、打开、页数通过；逐页确认含对应年份英语二真题和参考答案。
2012,真题及参考答案,02_答案与解析/2012/2012年考研英语二真题及参考答案.pdf,2012英语真题试卷及答案2.pdf,zwd1216/yingyuer,https://raw.githubusercontent.com/zwd1216/yingyuer/master/2012英语真题试卷及答案2.pdf,594347,10,通过,PDF签名、打开、页数通过；逐页确认含对应年份英语二真题和参考答案。
2013,真题及参考答案,02_答案与解析/2013/2013年考研英语二真题及参考答案.pdf,2013英语真题试卷及答案2.pdf,zwd1216/yingyuer,https://raw.githubusercontent.com/zwd1216/yingyuer/master/2013英语真题试卷及答案2.pdf,584260,9,通过,PDF签名、打开、页数通过；逐页确认含对应年份英语二真题和参考答案。
2014,真题及参考答案,02_答案与解析/2014/2014年考研英语二真题及参考答案.pdf,2014英语真题试卷及答案2.pdf,zwd1216/yingyuer,https://raw.githubusercontent.com/zwd1216/yingyuer/master/2014英语真题试卷及答案2.pdf,630736,9,通过,PDF签名、打开、页数通过；逐页确认含对应年份英语二真题和参考答案。
2015,真题及参考答案,02_答案与解析/2015/2015年考研英语二真题及参考答案.pdf,2015英语真题试卷及答案2.pdf,zwd1216/yingyuer,https://raw.githubusercontent.com/zwd1216/yingyuer/master/2015英语真题试卷及答案2.pdf,636894,10,通过,PDF签名、打开、页数通过；逐页确认含对应年份英语二真题和参考答案。
2016,真题及参考答案,02_答案与解析/2016/2016年考研英语二真题及参考答案.pdf,2016英语真题试卷及答案2.pdf,zwd1216/yingyuer,https://raw.githubusercontent.com/zwd1216/yingyuer/master/2016英语真题试卷及答案2.pdf,621708,10,通过,PDF签名、打开、页数通过；逐页确认含对应年份英语二真题和参考答案。
2017,真题及参考答案,02_答案与解析/2017/2017年考研英语二真题及参考答案.pdf,2017英语真题试卷及答案2.pdf,zwd1216/yingyuer,https://raw.githubusercontent.com/zwd1216/yingyuer/master/2017英语真题试卷及答案2.pdf,244549,32,通过,PDF签名、打开、页数通过；逐页确认含对应年份英语二真题和参考答案。
2018,详细解析,02_答案与解析/2018/2018年考研英语二详细解析.pdf,19-18年经典试卷版.pdf,zwd1216/yingyuer,https://raw.githubusercontent.com/zwd1216/yingyuer/master/19-18年经典试卷版.pdf,3270842,64,通过,原始文件名含19-18，逐页确认实际内容为2018年英语二详细解析。
2010-2022,历年合集,03_历年合集/2010-2022年考研英语二真题合集（无解析）.pdf,10-22考研英语二真题无解析.pdf,Fantasia1999/kaoyanzhenti,https://raw.githubusercontent.com/Fantasia1999/kaoyanzhenti/main/公共课/英语真题/英语二/10-22考研英语二真题无解析.pdf,15029937,182,通过,182页合集；确认覆盖2010—2022英语二真题，不含解析，与单年份版按用途分别保留。
2010-2016,英语二辅助讲义,04_待核对资料/jxr202_英语二辅助讲义/搜索出来的__2010-2016 大小作文范文.pdf,搜索出来的/2010-2016 大小作文范文.pdf,jxr202/Examination-English,https://raw.githubusercontent.com/jxr202/Examination-English/master/搜索出来的/2010-2016 大小作文范文.pdf,950677,15,PDF检查通过，分类待核对,真实PDF且可打开，但属于作文、翻译、阅读等课程讲义，不是完整单年份真题，故未混入正式目录。
年份不定,英语二辅助讲义,04_待核对资料/jxr202_英语二辅助讲义/搜索出来的__强11化.pdf,搜索出来的/强11化.pdf,jxr202/Examination-English,https://raw.githubusercontent.com/jxr202/Examination-English/master/搜索出来的/强11化.pdf,3904794,55,PDF检查通过，分类待核对,真实PDF且可打开，但属于作文、翻译、阅读等课程讲义，不是完整单年份真题，故未混入正式目录。
年份不定,英语二辅助讲义,04_待核对资料/jxr202_英语二辅助讲义/搜索出来的__技巧提升1翻译篇.pdf,搜索出来的/技巧提升1翻译篇.pdf,jxr202/Examination-English,https://raw.githubusercontent.com/jxr202/Examination-English/master/搜索出来的/技巧提升1翻译篇.pdf,970953,112,PDF检查通过，分类待核对,真实PDF且可打开，但属于作文、翻译、阅读等课程讲义，不是完整单年份真题，故未混入正式目录。
年份不定,英语二辅助讲义,04_待核对资料/jxr202_英语二辅助讲义/搜索出来的__技巧提升1翻译篇去步骤版.pdf,搜索出来的/技巧提升1翻译篇去步骤版.pdf,jxr202/Examination-English,https://raw.githubusercontent.com/jxr202/Examination-English/master/搜索出来的/技巧提升1翻译篇去步骤版.pdf,857904,52,PDF检查通过，分类待核对,真实PDF且可打开，但属于作文、翻译、阅读等课程讲义，不是完整单年份真题，故未混入正式目录。
年份不定,英语二辅助讲义,04_待核对资料/jxr202_英语二辅助讲义/搜索出来的__技巧提升2写作优化法则去步骤版.pdf,搜索出来的/技巧提升2写作优化法则去步骤版.pdf,jxr202/Examination-English,https://raw.githubusercontent.com/jxr202/Examination-English/master/搜索出来的/技巧提升2写作优化法则去步骤版.pdf,612868,24,PDF检查通过，分类待核对,真实PDF且可打开，但属于作文、翻译、阅读等课程讲义，不是完整单年份真题，故未混入正式目录。
年份不定,英语二辅助讲义,04_待核对资料/jxr202_英语二辅助讲义/搜索出来的__技巧提升2写作篇.pdf,搜索出来的/技巧提升2写作篇.pdf,jxr202/Examination-English,https://raw.githubusercontent.com/jxr202/Examination-English/master/搜索出来的/技巧提升2写作篇.pdf,1489951,71,PDF检查通过，分类待核对,真实PDF且可打开，但属于作文、翻译、阅读等课程讲义，不是完整单年份真题，故未混入正式目录。
年份不定,英语二辅助讲义,04_待核对资料/jxr202_英语二辅助讲义/搜索出来的__技巧提升2写作篇去步骤版.pdf,搜索出来的/技巧提升2写作篇去步骤版.pdf,jxr202/Examination-English,https://raw.githubusercontent.com/jxr202/Examination-English/master/搜索出来的/技巧提升2写作篇去步骤版.pdf,1416975,60,PDF检查通过，分类待核对,真实PDF且可打开，但属于作文、翻译、阅读等课程讲义，不是完整单年份真题，故未混入正式目录。
年份不定,英语二辅助讲义,04_待核对资料/jxr202_英语二辅助讲义/搜索出来的__技巧提升3阅读理解.pdf,搜索出来的/技巧提升3阅读理解.pdf,jxr202/Examination-English,https://raw.githubusercontent.com/jxr202/Examination-English/master/搜索出来的/技巧提升3阅读理解.pdf,1208385,86,PDF检查通过，分类待核对,真实PDF且可打开，但属于作文、翻译、阅读等课程讲义，不是完整单年份真题，故未混入正式目录。
年份不定,英语二辅助讲义,04_待核对资料/jxr202_英语二辅助讲义/搜索出来的__技巧提升4阅读理解.pdf,搜索出来的/技巧提升4阅读理解.pdf,jxr202/Examination-English,https://raw.githubusercontent.com/jxr202/Examination-English/master/搜索出来的/技巧提升4阅读理解.pdf,1435375,94,PDF检查通过，分类待核对,真实PDF且可打开，但属于作文、翻译、阅读等课程讲义，不是完整单年份真题，故未混入正式目录。
年份不定,英语二辅助讲义,04_待核对资料/jxr202_英语二辅助讲义/搜索出来的__点睛课12月8.pdf,搜索出来的/点睛课12月8.pdf,jxr202/Examination-English,https://raw.githubusercontent.com/jxr202/Examination-English/master/搜索出来的/点睛课12月8.pdf,3025568,67,PDF检查通过，分类待核对,真实PDF且可打开，但属于作文、翻译、阅读等课程讲义，不是完整单年份真题，故未混入正式目录。
年份不定,英语二辅助讲义,04_待核对资料/jxr202_英语二辅助讲义/旧数据__1_作文讲义材料.pdf,旧数据/1_作文讲义材料.pdf,jxr202/Examination-English,https://raw.githubusercontent.com/jxr202/Examination-English/master/旧数据/1_作文讲义材料.pdf,1076640,23,PDF检查通过，分类待核对,真实PDF且可打开，但属于作文、翻译、阅读等课程讲义，不是完整单年份真题，故未混入正式目录。
2010-2023,阅读文本辅助源（TeX）,04_待核对资料/补充文本源/pfoocc_英语二_2010-2023,204/,pfoocc/201_204_kaoyan,https://github.com/pfoocc/201_204_kaoyan/tree/main/204,,,辅助源已核对,仅用于阅读文本交叉校订；仓库自述未逐字校正，不能替代正式PDF，未作为答案或真题PDF交付。
